-181.444, 71.981, 2.467,  4.966
-181.446, 71.900, 2.436,  4.999
-181.451, 71.820, 2.387,  5.032
-181.457, 71.742, 2.331,  5.065
-181.460, 71.665, 2.299,  5.098
-181.458, 71.590, 2.269,  5.131
-181.452, 71.515, 2.253,  5.164
-181.442, 71.440, 2.267,  5.197
-181.436, 71.363, 2.329,  5.230
-181.434, 71.283, 2.390,  5.263
-181.436, 71.202, 2.436,  5.296
-181.441, 71.119, 2.465,  5.329
-181.442, 71.036, 2.485,  5.362
-181.438, 70.954, 2.466,  5.395
-181.431, 70.873, 2.429,  5.428
-181.427, 70.793, 2.401,  5.461
-181.427, 70.714, 2.378,  5.494
-181.430, 70.635, 2.371,  5.527
-181.431, 70.555, 2.404,  5.560
-181.426, 70.474, 2.438,  5.593
-181.423, 70.392, 2.485,  5.626
-181.424, 70.308, 2.514,  5.659
-181.423, 70.223, 2.536,  5.692
-181.417, 70.139, 2.533,  5.725
-181.415, 70.054, 2.524,  5.758
-181.416, 69.971, 2.502,  5.791
-181.420, 69.888, 2.487,  5.824
-181.420, 69.805, 2.494,  5.857
-181.416, 69.722, 2.504,  5.890
-181.410, 69.638, 2.527,  5.923
-181.407, 69.553, 2.554,  5.956
-181.409, 69.467, 2.572,  5.989
-181.412, 69.381, 2.591,  6.022
-181.411, 69.294, 2.601,  6.055
-181.407, 69.207, 2.603,  6.088
-181.406, 69.121, 2.600,  6.121
-181.408, 69.034, 2.596,  6.154
-181.406, 68.948, 2.598,  6.187
-181.402, 68.861, 2.605,  6.220
-181.402, 68.774, 2.616,  6.253
-181.404, 68.686, 2.632,  6.286
-181.402, 68.598, 2.650,  6.319
-181.403, 68.509, 2.663,  6.352
-181.401, 68.420, 2.676,  6.385
-181.402, 68.331, 2.682,  6.418
-181.400, 68.241, 2.688,  6.451
-181.397, 68.151, 2.694,  6.484
-181.398, 68.062, 2.696,  6.517
-181.399, 67.972, 2.702,  6.550
-181.398, 67.881, 2.711,  6.583
-181.395, 67.791, 2.724,  6.616
-181.395, 67.699, 2.735,  6.649
-181.396, 67.608, 2.749,  6.682
-181.394, 67.516, 2.758,  6.715
-181.394, 67.424, 2.768,  6.748
-181.395, 67.331, 2.777,  6.781
-181.393, 67.239, 2.785,  6.814
-181.394, 67.146, 2.790,  6.847
-181.392, 67.053, 2.797,  6.880
-181.393, 66.959, 2.805,  6.913
-181.391, 66.865, 2.815,  6.946
-181.392, 66.771, 2.827,  6.979
-181.391, 66.677, 2.840,  7.012
-181.391, 66.582, 2.852,  7.045
-181.390, 66.486, 2.862,  7.078
-181.389, 66.391, 2.871,  7.111
-181.389, 66.295, 2.878,  7.144
-181.390, 66.199, 2.885,  7.177
-181.388, 66.102, 2.893,  7.210
-181.389, 66.006, 2.902,  7.243
-181.388, 65.909, 2.912,  7.276
-181.388, 65.811, 2.924,  7.309
-181.389, 65.714, 2.935,  7.342
-181.388, 65.616, 2.945,  7.375
-181.387, 65.517, 2.956,  7.408
-181.387, 65.418, 2.965,  7.441
-181.387, 65.319, 2.974,  7.474
-181.387, 65.220, 2.983,  7.507
-181.386, 65.120, 2.993,  7.540
-181.386, 65.020, 3.002,  7.573
